Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
Current,,"Taco Tuesday Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad - Kosher, Gluten-Free, Dairy-Free, Vegan, Keto Friendly",SN-TACO,SN-TACO,,,#N/A
Current,,"Sriracha Seasoning by Flavor God - Premium All Natural & Healthy Spice Blend for Chicken, Hot Dogs, Onion Rings, Popcorn, & Sliders - Kosher, Low Sodium, Gluten-Free, Dairy-Free, Paleo, Vegan-Friendl",SN-SRCH,SN-SRCH,,,#N/A
Current,,"Pizza Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Ravioli, & Pasta- Kosher, Gluten-Free, Dairy-Free, Vegan",SN-PZA,SN-PZA,,,#N/A
Current,,"Nacho Cheese Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Chicken, Nachos, Dips, Chicken Nuggets, Salad, Pizza, Tacos, & Pasta - Kosher, Dairy-Free, Glute",SN-NCHO,SN-NCHO,,,#N/A
Current,,"Lemon Garlic Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Chicken, Seafood, Salads & Vegetables - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",SN-LMGR,SN-LMGR,,,#N/A
Current,,"Ketchup Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, & Pasta - Kosher, Gluten-Free, Dairy-Free, Vegan,",SN-KCHP,SN-KCHP,,,#N/A
Current,,"Italian Zest Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Salad, Pasta, Chicken & Seafood - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly - 2.3 oz",SN-ITZS,SN-ITZS,,,#N/A
Current,,"Hot Wings Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Chicken Wings, Eggs, Seafood & Vegetables - Kosher, Low Sodium, Vegan, Gluten-Free & Keto Friendly",SN-HTWN,SN-HTWN,,,#N/A
Current,,"Habanero Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Burritos, Tacos, Seafood & Chicken - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",SN-HBNR,SN-HBNR,,,#N/A
Current,,"Garlic Lovers Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, & Pasta - Kosher, Gluten-Free, Dairy-Free",SN-GRLV,SN-GRLV,,,#N/A
